"UNITID","CIPCODE","EFNRALM","EFNRALW","EFBKAAM","EFBKAAW","EFAIANM","EFAIANW","DVEFAIM","DVEFAIW","EFHISPM","EFHISPW","EFWHITM","EFWHITW","EFUNKNM","EFUNKNW"
146719,40,2,2,1,5,0,0,11,24,9,10,52,51,9,17
146719,52,17,17,20,62,0,0,28,61,31,48,251,217,38,43
146825,13,0,0,4,3,0,0,0,0,4,4,51,109,0,0
146825,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0
146825,26,0,0,0,1,0,0,0,1,0,0,2,20,0,0
146825,27,0,0,1,1,0,0,0,0,0,0,0,1,0,0
146825,40,0,0,0,0,0,0,1,0,2,1,6,1,0,0
146825,52,6,0,9,1,0,0,0,0,3,2,35,18,0,0
147013,13,1,1,1,8,0,0,0,2,1,2,45,223,3,2
147013,26,1,0,2,2,1,0,0,1,0,1,24,49,0,0
147013,27,0,0,1,1,0,0,0,0,0,0,14,12,1,0
147013,40,0,0,0,0,0,0,0,0,0,0,2,3,0,0
147013,52,NA,2,44,55,3,1,2,5,7,3,214,306,NA,5
147165,52,1,0,7,35,0,0,0,1,0,2,50,161,0,2
147244,13,0,0,6,7,0,0,0,1,5,4,137,234,5,11
147244,26,0,0,0,4,0,1,1,0,2,2,60,83,1,3
147244,27,0,0,0,0,0,0,0,0,1,2,14,16,1,0
147244,40,3,0,4,1,0,0,0,0,0,1,36,14,2,1
147244,52,5,4,15,16,0,0,1,2,6,1,260,142,10,8
147341,13,0,1,6,4,0,1,0,1,2,2,77,151,0,0
147341,26,0,2,2,3,0,0,0,0,1,1,24,33,0,1
147341,27,0,0,0,0,0,0,1,0,1,0,14,15,0,0
147341,40,1,0,2,1,0,0,0,0,0,0,13,3,1,0
147341,52,8,7,8,1,0,0,0,1,2,0,118,87,2,0
147369,13,2,6,0,0,0,0,0,1,0,1,4,38,0,0
147536,13,0,2,5,71,0,1,0,7,5,62,16,138,22,304
147536,26,0,0,0,1,0,0,0,0,0,0,0,3,0,1
147536,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0
147536,52,0,1,116,179,3,1,5,9,27,36,158,195,244,436
147660,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,152,NA,NA
147660,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,23,NA,NA
147660,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
147660,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
147660,52,NA,NA,7,7,NA,NA,4,3,3,9,115,129,5,NA
147679,13,1,0,5,2,0,1,0,0,4,3,12,58,1,4
147679,26,2,1,0,2,0,0,4,3,2,8,18,35,4,5
147679,27,0,0,1,0,0,0,0,0,0,0,2,3,0,0
147679,40,0,0,0,0,0,0,0,0,0,0,2,5,2,0
147679,52,8,7,29,42,0,1,7,9,17,51,75,90,8,16
147703,13,1,5,46,154,1,3,14,51,36,113,432,1688,19,43
147703,14,21,2,84,25,3,0,90,17,55,11,619,52,34,3
147703,26,1,2,19,52,1,2,10,19,10,16,140,211,8,14
147703,27,1,0,6,5,2,0,5,8,5,4,86,69,2,1
147703,40,1,2,5,8,2,0,5,3,5,3,145,98,9,5
147703,52,49,33,194,279,1,2,213,183,126,131,1790,1012,67,47
147767,13,0,0,1,4,0,0,0,3,2,6,20,44,1,1
147767,14,103,42,33,29,2,0,187,96,35,24,485,180,49,19
147767,26,0,7,5,3,0,1,21,34,3,4,43,60,6,6
147767,27,1,1,1,4,0,0,3,5,3,1,31,16,2,2
147767,40,2,0,0,1,0,0,10,11,2,0,27,19,2,4
147767,52,0,1,3,14,0,2,8,9,1,5,31,49,5,5
147776,13,3,16,30,117,0,0,15,107,85,472,136,657,0,0
147776,26,1,6,7,15,0,0,22,33,20,33,34,79,0,0
147776,27,2,1,10,5,1,1,12,9,11,13,35,25,0,0
147776,40,1,2,3,6,0,1,7,8,11,9,18,12,0,0
147776,52,18,24,48,92,0,1,75,117,117,228,226,295,0,0
147828,13,0,0,6,8,0,0,0,2,1,4,68,228,0,0
147828,14,2,0,5,0,0,0,0,0,1,1,44,6,0,0
147828,26,0,1,4,3,0,0,0,1,0,1,37,75,0,0
147828,27,0,0,0,0,0,0,1,0,0,1,11,11,0,0
147828,40,0,0,0,0,0,0,0,0,0,0,9,9,0,0
147828,52,6,1,23,33,1,0,1,1,3,6,183,144,0,3
148016,13,0,0,0,0,0,0,0,0,0,0,8,22,0,0
148016,26,1,0,0,0,0,0,0,0,0,1,5,17,0,2
148016,27,0,1,0,0,0,0,0,0,0,0,1,0,1,0
148016,40,1,0,0,0,0,0,0,0,0,0,6,2,1,0
148016,52,3,1,0,1,0,0,1,0,1,0,22,12,0,0
148131,13,0,0,2,0,0,1,0,0,0,2,17,83,2,12
148131,14,0,0,1,0,0,0,0,0,0,2,10,0,2,0
148131,26,0,0,0,2,0,0,0,0,0,3,9,18,0,0
148131,27,0,0,1,0,0,0,0,0,0,0,4,2,0,0
148131,40,0,0,0,0,0,0,0,0,0,0,1,5,0,0
148131,52,3,1,6,2,1,0,0,0,1,2,63,45,8,4
148335,52,6,13,323,1019,4,4,57,43,224,539,455,460,31,52
148405,13,0,0,6,9,0,1,2,3,2,5,33,138,0,1
148405,14,0,0,0,0,0,0,0,1,0,0,2,0,0,0
148405,26,0,2,2,1,0,0,0,0,0,1,8,20,0,0
148405,27,0,0,0,1,0,0,2,0,0,0,8,5,0,1
148405,40,0,0,0,1,0,0,0,0,0,0,6,3,0,0
148405,52,1,5,7,7,0,0,1,1,3,1,67,73,0,1
148487,13,0,2,8,87,0,1,1,13,10,61,24,152,4,29
148487,26,0,2,1,23,0,0,3,9,2,4,12,25,4,5
148487,27,1,0,1,4,0,0,2,0,1,2,6,9,0,2
148487,40,1,1,2,1,0,0,1,1,0,2,2,8,1,0
148487,52,20,27,89,321,2,7,35,37,41,123,260,394,46,83
148496,26,2,0,0,0,0,0,0,0,1,2,4,9,0,0
148496,27,0,0,0,1,0,0,1,0,4,2,7,5,0,0
148496,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148496,52,3,1,5,12,0,0,2,2,9,16,49,91,1,6
148584,13,0,0,0,3,0,0,0,4,3,19,52,201,6,11
148584,26,1,0,0,6,0,0,0,0,4,6,9,30,0,0
148584,27,0,0,1,0,0,0,0,0,1,0,10,9,0,0
148584,52,1,0,14,22,0,0,2,3,12,12,123,127,11,6
148627,13,0,0,7,55,2,0,0,3,17,62,71,382,1,31
148627,26,0,0,6,20,0,0,1,2,5,14,38,74,5,6
148627,27,0,0,0,0,0,0,0,1,0,2,5,3,0,0
148627,40,0,0,1,2,0,0,0,0,3,1,1,9,0,0
148627,52,3,1,27,54,0,1,3,8,25,46,173,183,15,21
148654,26,1,0,4,8,0,0,2,1,3,1,39,67,0,0
148654,27,0,0,2,0,0,0,0,0,1,0,9,9,0,0
148654,40,1,0,0,0,0,0,0,2,0,0,6,11,0,0
148654,52,6,3,14,40,2,0,5,6,2,5,256,309,0,0
148876,13,0,0,1,22,0,0,0,4,3,213,0,0,0,0
148876,52,0,0,5,7,0,0,0,1,156,309,2,2,0,0
149222,13,5,8,81,119,2,6,10,6,20,23,323,798,427,289
149222,14,66,6,85,24,1,0,23,3,33,4,533,52,15,5
149222,26,10,9,10,50,1,2,6,4,3,8,199,247,23,20
149222,27,0,1,2,1,1,0,0,0,0,0,27,28,2,2
149222,40,3,4,8,9,0,0,0,0,1,3,75,45,9,4
149222,52,79,41,145,143,3,0,17,8,24,16,695,407,42,22
149231,13,0,1,2,33,0,0,1,3,1,7,52,405,0,0
149231,14,23,4,18,11,1,0,8,1,5,1,384,57,0,0
149231,26,1,2,1,19,0,2,2,5,2,3,109,184,0,0
149231,27,4,1,1,1,1,0,0,0,0,0,32,33,0,0
149231,40,0,1,2,4,0,0,2,0,0,1,30,23,0,0
149231,52,20,13,38,68,4,1,8,11,6,8,557,557,0,0
149505,13,2,0,3,22,0,0,3,3,3,17,91,242,4,16
149505,26,0,0,1,1,0,0,0,0,0,1,16,14,1,1
149505,27,0,0,0,0,0,0,0,0,1,0,2,2,0,0
149505,40,0,0,0,0,0,0,0,0,0,0,2,2,1,0
149505,52,6,3,5,13,0,0,2,1,7,4,102,74,1,3
149514,13,0,2,3,5,0,0,0,3,1,3,32,111,0,2
149514,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0
149514,27,0,0,0,0,0,0,0,0,0,0,2,2,0,0
149514,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0
149514,52,3,1,4,2,0,0,3,2,1,1,53,37,0,5
149639,13,1,1,7,6,0,0,0,0,10,0,30,32,32,13
149772,13,2,3,33,37,2,2,4,6,17,38,391,1066,14,21
149772,26,1,3,8,30,1,0,3,5,6,7,122,213,10,10
149772,27,3,0,2,3,0,0,1,0,5,0,65,42,0,1
149772,40,2,1,4,12,1,0,1,0,0,0,47,32,3,2
149772,52,24,13,36,56,0,1,8,15,22,18,594,507,18,15
149781,13,1,2,0,2,0,0,0,7,1,5,27,105,0,0
149781,14,0,0,0,0,0,0,0,0,0,0,15,4,0,0
149781,26,0,1,0,0,1,0,5,5,3,3,45,36,0,0
149781,27,0,0,0,2,0,0,0,2,1,0,17,17,0,0
149781,40,0,2,1,0,0,0,0,0,1,0,26,16,2,1
149781,52,0,0,1,1,0,0,7,3,4,2,103,37,1,1
150066,13,1,0,3,3,0,0,0,1,0,2,104,197,2,5
150066,26,0,1,0,2,0,1,0,0,0,0,9,11,1,1
150066,27,0,0,0,0,0,0,0,0,0,0,2,0,0,0
150066,40,0,0,1,0,0,0,0,0,0,0,12,6,0,0
150066,52,2,2,12,11,0,1,2,2,0,1,113,93,1,1
150136,13,0,1,40,64,1,5,5,9,7,13,740,2085,0,0
150136,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA
150136,26,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,103,200,NA,NA
150136,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,57,NA,NA
150136,40,NA,NA,1,3,NA,NA,NA,NA,NA,NA,63,38,NA,NA
150136,52,0,0,64,66,2,3,13,8,15,10,1170,703,0,0
150145,13,NA,NA,5,8,NA,NA,NA,NA,NA,NA,78,211,NA,NA
150145,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
150145,26,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,14,25,NA,NA
150145,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
150145,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
150145,52,2,NA,13,49,NA,NA,NA,NA,NA,4,105,159,NA,NA
150163,13,2,1,3,12,0,1,1,3,0,4,86,266,9,35
150163,26,1,0,3,7,0,0,2,1,0,0,47,92,4,12
150163,27,0,0,0,1,0,0,1,0,0,0,10,9,1,0
150163,40,0,1,1,3,0,0,0,3,0,2,56,54,6,4
150163,52,15,11,17,15,1,1,4,1,4,10,333,242,45,37
150172,13,NA,NA,2,19,NA,NA,NA,NA,2,32,18,52,NA,NA
150172,52,0,0,23,97,1,0,0,0,17,25,49,54,0,0
150367,52,2,5,21,63,3,4,0,1,3,14,98,296,24,56
150376,52,0,0,25,182,0,1,1,3,8,64,66,307,4,17
150400,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,34,NA,1
150400,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
150400,26,NA,NA,1,3,NA,NA,2,2,NA,1,42,50,NA,1
150400,27,1,NA,2,NA,NA,NA,1,NA,NA,NA,9,2,NA,NA
150400,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
150455,26,0,2,0,4,0,0,1,0,0,2,9,34,0,0
150455,27,0,0,0,0,0,0,0,0,0,0,3,5,0,0
150455,40,1,2,1,2,0,0,0,1,0,0,7,6,0,0
150455,52,1,0,8,1,0,0,0,1,1,0,11,5,0,0
150534,13,4,5,6,4,0,1,0,1,0,2,83,196,9,39
150534,14,27,1,0,0,1,0,2,0,0,0,133,22,29,5
150534,26,4,0,0,2,0,1,1,1,0,0,24,47,7,14
150534,27,0,1,0,0,0,0,0,0,0,0,4,9,0,0
150534,40,1,0,0,2,0,0,0,0,0,0,11,14,2,1
150534,52,27,5,2,5,1,1,0,2,3,2,85,78,18,18
150561,13,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,10,69,NA,NA
150561,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,14,NA,NA
150604,13,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,41,NA,NA,NA
150604,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA
150604,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,8,NA,NA
150604,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
150604,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22,NA,NA
150668,13,NA,6,NA,NA,NA,NA,NA,NA,NA,4,38,69,NA,NA
150668,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,29,NA,NA
150668,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
150668,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,10,NA,NA
150668,52,14,NA,5,5,NA,NA,NA,NA,2,NA,32,43,NA,NA
150677,13,0,0,1,0,0,0,0,0,0,0,23,47,0,0
150677,26,1,0,0,0,0,0,0,0,0,0,4,5,0,0
150677,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0
150677,52,1,0,8,0,1,0,1,0,1,0,14,5,0,0
150941,13,1,0,0,0,0,0,0,0,1,2,58,193,0,0
150941,26,0,0,0,0,0,0,0,0,0,1,3,8,0,0
150941,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA
150941,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
150941,52,NA,2,NA,NA,NA,NA,NA,NA,NA,3,86,70,NA,NA
151102,13,0,0,11,27,0,2,5,7,11,20,280,971,0,0
151102,14,0,0,3,1,0,0,5,1,1,1,224,21,0,0
151102,26,0,0,4,7,0,2,5,6,4,4,83,138,0,0
151102,27,0,0,0,0,0,1,2,1,1,2,39,42,0,0
151102,40,0,0,4,2,1,0,2,0,3,1,48,34,0,0
151102,52,0,0,36,50,2,0,14,7,15,15,762,658,0,0
151111,13,0,4,45,112,1,3,6,9,8,28,527,1600,2,4
151111,14,48,11,52,13,0,0,33,9,17,5,435,74,4,0
151111,26,11,10,17,52,1,1,9,28,5,4,145,286,2,0
151111,27,0,0,2,3,0,0,1,1,3,0,47,41,0,0
151111,40,4,2,5,17,1,0,2,4,2,0,121,92,0,1
151111,52,53,47,147,230,4,6,52,50,28,29,1553,1253,6,6
151263,13,5,1,14,7,2,0,0,1,0,2,106,225,7,10
151263,14,3,0,0,0,0,0,0,0,0,0,3,1,0,0
151263,26,1,1,2,11,0,1,0,2,0,4,35,93,3,1
151263,27,0,0,0,0,0,0,0,0,0,0,7,3,0,0
151263,40,2,1,1,4,1,0,1,0,0,0,17,41,3,1
151263,52,35,19,32,50,1,2,3,7,4,5,204,273,19,23
151290,14,5,0,7,7,2,0,2,0,6,2,84,11,8,1
151290,52,16,2,162,278,9,7,7,4,23,24,627,823,345,544
151306,13,1,1,10,28,1,0,0,1,1,1,216,916,0,0
151306,14,1,0,1,0,0,0,1,0,0,0,104,14,0,0
151306,26,1,2,0,5,0,1,1,4,0,2,118,185,0,0
151306,27,1,0,3,1,0,0,0,0,1,0,30,29,0,0
151306,40,0,0,0,1,0,0,0,0,0,0,56,20,0,0
151306,52,10,5,27,19,0,2,3,2,4,2,683,612,0,0
151324,13,NA,NA,29,42,3,NA,NA,NA,NA,NA,454,971,NA,NA
151324,26,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,30,47,NA,2
151324,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,40,NA,NA
151324,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,30,NA,NA
151324,52,29,19,92,98,NA,NA,NA,NA,NA,8,592,546,14,15
151333,13,0,0,1,6,0,1,0,0,1,4,46,296,2,2
151333,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,27,NA,NA
151333,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA
151333,52,0,2,6,6,0,3,2,5,4,4,134,171,0,1
151342,13,NA,10,14,47,2,2,1,4,3,15,217,738,6,6
151342,26,NA,3,2,10,1,0,0,3,0,5,59,64,1,2
151342,27,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,6,6,NA,NA
151342,40,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,22,15,NA,NA
151342,52,20,10,14,19,2,2,2,6,8,9,227,228,2,3
151351,13,9,6,82,101,3,9,13,42,28,52,1320,2781,7,4
151351,26,11,18,31,70,3,2,63,84,19,29,699,772,4,9
151351,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,34,NA,NA
151351,40,4,1,NA,8,NA,0,NA,5,NA,7,202,102,NA,0
151351,52,530,261,105,87,3,6,213,111,68,36,3669,1700,24,7
151360,13,NA,0,9,72,1,0,1,5,6,39,65,226,0,3
151360,26,NA,NA,NA,8,NA,NA,NA,NA,NA,12,22,32,NA,1
151360,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
151360,40,NA,NA,NA,5,NA,NA,NA,2,NA,NA,13,16,NA,NA
151360,52,NA,NA,32,81,NA,NA,NA,NA,29,29,166,147,5,3
151379,13,NA,NA,5,13,2,2,NA,6,1,4,261,816,13,27
151379,26,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,51,97,NA,4
151379,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,13,NA,NA
151379,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,23,NA,NA
151379,52,NA,NA,7,18,NA,2,5,4,2,3,373,430,17,17
151388,13,0,0,3,9,0,2,0,1,1,0,63,260,2,6
151388,26,NA,0,NA,2,NA,0,NA,1,NA,2,15,35,NA,2
151388,52,0,1,6,7,0,1,2,0,0,4,111,196,2,10
151494,52,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
151500,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA
151519,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,13,5
151777,13,1,3,9,3,1,2,0,0,4,2,109,189,0,0
151777,14,2,0,1,0,0,0,0,0,0,0,9,1,0,0
151777,26,3,5,3,0,0,0,0,0,0,1,31,49,0,0
151777,27,0,0,1,0,0,0,0,0,0,0,2,1,0,0
151777,40,0,0,1,0,0,0,0,1,0,0,3,6,0,0
151777,52,14,14,2,2,1,1,1,1,4,3,106,89,0,0
151786,13,0,0,0,16,0,1,0,0,0,4,10,85,0,9
151786,26,0,2,0,6,0,0,0,2,1,0,10,39,0,0
151786,27,0,0,0,0,0,0,0,0,1,0,11,3,0,0
151786,40,0,0,1,1,0,0,0,0,0,0,2,2,0,0
151786,52,5,5,18,64,0,1,0,0,1,6,87,83,15,49
151801,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,109,409,NA,31
151801,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
151801,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA
151801,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
151801,52,NA,NA,105,305,2,9,9,NA,13,18,636,891,15,8
151810,13,0,0,2,27,0,0,0,0,0,0,0,3,0,0
151810,26,1,0,2,28,NA,0,NA,0,NA,0,NA,1,NA,0
151810,27,0,0,1,0,0,0,0,0,0,0,1,0,0,0
151810,52,2,3,36,101,0,0,0,1,0,0,NA,NA,0,0
152080,13,0,0,0,0,0,0,0,0,1,0,1,3,0,0
152080,14,27,7,13,9,4,2,26,9,42,14,624,178,0,0
152080,26,1,2,0,1,0,0,8,9,8,13,93,139,0,0
152080,27,0,0,1,0,0,0,1,3,2,5,59,40,0,0
152080,40,2,0,0,0,0,0,1,0,0,0,36,19,0,0
152080,52,38,25,34,33,3,3,44,32,66,63,798,458,0,0
152099,13,0,0,4,2,0,1,0,0,0,0,82,193,0,0
152248,13,0,0,0,26,0,2,0,3,5,40,33,308,0,0
152248,14,6,3,22,11,0,0,12,2,37,8,230,35,0,0
152248,26,1,1,3,18,0,0,1,2,4,18,29,73,0,0
152248,27,1,2,4,4,0,0,0,0,6,3,47,16,0,0
152248,40,1,0,1,4,0,0,1,0,3,2,15,12,0,0
152248,52,12,3,60,129,3,3,16,17,104,140,648,612,0,0
152266,13,0,0,0,6,1,3,0,0,2,5,31,199,0,0
152266,14,0,0,0,0,0,0,0,1,0,0,12,1,0,0
152266,26,0,0,0,0,0,0,0,1,0,2,10,38,0,0
152266,27,0,0,0,0,0,0,0,1,0,0,2,3,0,0
152266,40,0,0,0,0,0,0,0,0,0,1,5,2,0,0
152266,52,0,0,20,20,5,5,6,1,15,21,410,454,0,0
152318,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978,NA,NA,NA
152318,26,0,0,1,0,0,0,1,0,2,0,14,28,0,0
152318,27,1,0,0,0,0,0,1,0,1,0,20,1,0,0
152318,40,1,0,0,1,0,0,2,0,1,0,37,17,0,0
152336,13,0,0,4,1,1,1,1,0,2,1,44,85,11,30
152336,26,0,0,1,1,0,1,0,0,0,0,10,13,5,6
152336,40,0,0,1,0,0,0,0,0,0,0,2,3,1,1
152336,52,0,0,18,10,0,2,0,1,3,1,64,52,41,13
152363,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA
152363,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA
152363,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA
152363,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
152363,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,98,50,NA,NA
152381,13,NA,NA,NA,9,NA,5,NA,NA,NA,5,NA,371,NA,22
152381,26,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,30,NA,5
152381,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
152381,52,NA,NA,NA,6,NA,NA,NA,NA,NA,2,NA,202,NA,12
152390,13,0,0,0,0,0,0,0,0,0,5,0,74,0,0
152390,26,0,0,0,0,0,0,0,0,0,1,0,47,0,0
152390,27,0,0,0,0,0,0,0,0,0,0,0,18,0,0
152390,40,0,0,0,1,0,0,0,2,0,0,0,22,0,0
152390,52,0,0,0,1,0,0,0,0,0,3,0,87,0,0
152530,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152530,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA
152530,26,4,2,2,1,NA,NA,2,1,1,1,41,63,NA,NA
152530,27,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,9,NA,NA
152530,40,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,21,6,NA,1
152530,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,84,NA,NA
152567,13,0,0,1,2,0,0,1,0,1,1,42,104,3,7
152567,14,15,4,4,2,1,0,2,1,0,0,297,54,18,3
152567,26,0,0,1,0,0,0,0,0,0,0,5,9,0,1
152567,27,0,0,0,0,0,0,0,0,0,0,3,2,1,0
152567,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0
152567,52,5,1,9,1,0,1,0,2,1,1,163,137,19,16
152600,13,0,0,0,3,0,1,0,1,0,7,36,157,1,4
152600,14,30,0,3,1,1,0,4,1,2,1,246,66,2,1
152600,26,0,1,2,2,0,0,2,7,3,1,42,81,1,3
152600,27,0,0,0,0,0,0,0,0,0,1,18,19,1,1
152600,40,0,0,2,1,1,1,2,1,3,1,97,80,0,2
152600,52,13,5,7,4,0,0,3,8,10,7,213,145,3,3
152673,26,2,0,4,0,0,0,2,0,4,0,24,0,1,0
152673,27,5,0,1,0,0,0,0,0,2,0,13,0,0,0
152673,40,1,0,2,0,0,0,0,0,2,0,26,0,0,0
152992,13,0,0,2,0,1,0,0,0,0,1,27,91,1,1
152992,26,0,0,0,0,0,0,1,0,3,2,14,15,17,0
152992,27,0,0,0,0,0,0,0,0,1,0,5,0,0,0
152992,40,0,0,0,0,0,0,0,0,0,0,2,2,0,0
152992,52,0,0,1,4,1,0,3,2,3,3,76,98,1,2
153001,13,0,0,0,1,0,2,1,3,0,3,178,596,4,13
153001,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA
153001,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA
153001,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,NA,NA
153001,52,NA,NA,NA,NA,2,NA,NA,3,NA,5,287,364,NA,14
153108,13,0,0,0,1,0,0,0,0,0,3,39,192,0,0
153108,26,0,1,0,1,0,0,0,3,0,2,20,41,0,0
153108,27,0,0,0,1,0,0,0,0,0,0,16,16,0,0
153108,40,0,1,0,0,0,0,0,0,0,0,24,13,0,0
153108,52,2,1,1,0,1,0,5,1,1,NA,127,101,0,0
153126,13,0,0,0,1,0,0,1,0,2,0,14,65,13,43
153126,26,0,0,0,0,0,0,0,0,1,0,3,8,1,3
153126,27,0,0,0,0,0,0,0,0,0,0,3,4,1,2
153126,40,0,0,0,0,0,0,0,0,0,1,1,1,4,2
153126,52,1,0,0,0,0,0,0,2,7,0,22,47,27,62
153144,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA
153144,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
153144,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,NA
153144,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,NA,NA
153144,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,52,NA,NA
153162,13,0,1,0,0,0,0,0,1,0,1,21,43,0,0
153162,26,0,0,0,1,0,0,0,0,0,1,16,18,0,0
153162,27,0,0,1,0,0,0,0,0,0,0,6,8,0,0
153162,40,0,0,0,0,0,0,0,0,0,0,11,7,0,0
153162,52,0,0,0,1,0,0,0,0,0,1,1,5,0,1
153250,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA
153250,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA
153250,26,3,9,NA,NA,NA,NA,NA,NA,NA,NA,16,18,NA,NA
153250,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA
153250,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA
153250,52,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,93,NA,NA
153269,13,0,2,5,5,0,2,1,3,0,3,48,129,5,31
153269,26,2,3,2,4,0,0,3,6,1,2,85,80,7,11
153269,27,1,0,0,0,0,0,1,0,1,0,17,9,6,2
153269,40,2,0,0,1,0,0,0,0,0,0,28,14,0,3
153269,52,52,40,19,10,1,2,14,7,11,7,351,272,23,12
153278,13,0,0,5,1,0,0,1,0,2,0,55,62,0,0
153278,26,0,0,3,1,1,0,1,2,2,0,23,26,0,0
153278,52,0,0,16,3,0,1,1,1,2,0,58,42,0,0
153302,13,1,3,1,0,0,0,0,0,0,3,6,44,0,2
