"UNITID","CIPCODE","EFAIANM","EFAIANW","EFBKAAM","EFBKAAW","EFHISPM","EFHISPW","EFWHITM","EFWHITW","EFUNKNM","EFUNKNW","EFNRALM","EFNRALW","DVEFAIM","DVEFAIW"
152099,27,0,0,0,0,0,0,2,4,0,1,0,0,0,0
152099,52,0,1,2,10,7,5,72,73,7,5,8,0,0,0
152318,14,1,1,33,17,43,38,858,255,19,3,150,35,58,27
152318,26,0,0,1,1,0,2,14,20,1,1,1,0,0,1
152318,27,0,0,0,0,1,1,15,9,0,0,10,4,1,1
152318,40,0,0,0,0,1,0,16,4,0,0,10,2,0,0
152336,13,0,0,0,1,2,1,7,62,0,0,0,1,0,1
152336,26,0,0,5,3,1,7,30,49,0,1,1,0,0,2
152336,27,0,0,0,0,0,1,2,0,0,0,0,0,0,0
152336,40,0,0,3,2,0,2,3,11,0,0,1,0,0,0
152336,52,0,1,24,1,7,4,103,44,3,3,6,0,1,0
152381,13,0,0,2,6,0,1,8,108,0,7,0,0,1,0
152381,26,0,0,0,2,0,0,2,17,0,0,0,3,0,0
152381,27,0,0,0,0,0,0,0,1,0,0,2,0,0,0
152381,52,0,0,4,2,6,2,24,57,2,6,0,0,1,1
152390,13,0,0,0,0,0,5,0,47,0,1,0,1,0,0
152390,26,0,1,0,1,0,8,0,42,0,1,0,0,0,1
152390,27,0,0,0,0,0,3,0,33,0,1,0,3,0,0
152390,40,0,0,0,0,0,2,0,26,0,0,0,0,0,1
152390,52,0,0,0,3,0,12,0,84,0,6,0,5,0,1
152530,13,0,1,1,2,2,10,43,170,0,0,2,5,2,7
152530,14,0,0,1,2,3,0,50,15,0,0,3,0,1,0
152530,26,2,1,4,3,7,4,73,115,0,0,5,4,2,6
152530,27,0,0,0,0,0,1,18,10,0,0,1,0,0,1
152530,40,0,0,0,0,0,0,11,9,0,0,0,0,0,1
152530,52,1,0,12,1,7,3,154,69,0,0,15,8,6,2
152567,13,0,1,2,0,2,2,40,72,1,1,1,1,0,1
152567,14,1,1,10,4,34,4,524,108,8,4,35,6,6,5
152567,26,0,0,3,1,4,2,22,51,0,1,1,1,0,4
152567,27,0,0,0,0,0,0,7,4,0,0,0,0,0,0
152567,40,0,0,0,0,1,0,3,2,0,0,0,0,0,0
152567,52,0,0,20,2,11,3,218,69,3,4,20,5,3,2
152600,13,0,0,1,3,2,14,44,109,0,3,0,0,0,2
152600,14,0,0,11,1,23,9,317,81,13,4,48,11,10,7
152600,26,1,0,7,7,7,14,45,68,0,3,0,2,2,6
152600,27,0,0,1,1,0,0,25,12,0,0,0,0,0,0
152600,40,0,0,3,3,6,9,69,61,3,5,1,0,0,3
152600,52,0,0,17,8,18,17,181,136,13,8,25,7,2,2
152637,13,0,0,4,11,1,13,24,139,2,4,0,0,0,0
152637,14,0,0,3,1,6,3,55,7,1,1,1,1,0,0
152637,26,0,0,1,7,2,5,17,32,0,0,0,0,0,1
152637,40,0,0,0,2,1,4,5,13,0,1,0,1,0,0
152637,52,0,1,30,38,27,42,122,153,4,10,2,4,4,1
152673,26,0,0,0,0,2,0,26,0,2,0,4,0,1,0
152673,27,0,0,1,0,1,0,23,0,1,0,8,0,0,0
152673,40,0,0,1,0,3,0,20,0,2,0,1,0,0,0
152992,13,0,0,1,1,2,6,16,26,0,0,0,0,0,1
152992,26,0,2,1,2,5,6,16,26,0,0,1,3,1,1
152992,27,0,0,0,0,0,0,3,2,0,0,1,0,0,0
152992,40,0,0,1,0,1,2,1,4,0,0,1,1,1,1
152992,52,1,4,12,1,16,7,57,32,0,0,17,6,1,0
153001,13,1,0,4,1,4,5,71,261,8,51,0,1,0,0
153001,26,1,0,3,2,6,7,21,37,1,4,3,0,0,0
153001,27,0,0,0,0,0,0,1,1,0,0,0,0,0,0
153001,40,0,0,2,0,2,0,3,3,2,0,1,0,0,0
153001,52,0,3,11,3,9,7,139,181,23,41,2,4,4,4
153108,13,0,0,0,0,0,0,7,48,0,0,0,0,0,0
153108,14,0,0,0,0,1,0,11,0,1,0,0,0,1,0
153108,26,0,0,4,1,3,4,49,58,1,1,0,0,0,2
153108,27,0,0,0,0,0,0,4,5,0,0,0,0,0,0
153108,40,0,0,0,0,0,0,3,6,0,0,0,0,0,0
153108,52,0,0,2,1,1,0,48,28,2,0,0,0,0,0
153126,13,0,1,0,2,2,0,16,61,1,0,0,0,0,2
153126,26,0,0,0,3,3,3,16,28,0,2,0,0,1,1
153126,27,0,0,1,0,0,0,2,7,0,0,0,0,0,0
153126,40,0,0,0,0,0,0,3,8,0,0,0,0,0,1
153126,52,0,0,12,2,9,1,43,30,1,1,7,1,4,1
153144,13,0,1,3,2,4,2,25,36,0,1,0,0,0,1
153144,26,0,0,1,8,3,10,30,54,0,4,2,3,1,2
153144,27,0,0,1,0,4,0,19,17,1,1,3,3,2,1
153144,40,0,0,0,1,9,1,36,18,1,1,5,1,2,4
153144,52,0,1,6,6,9,7,92,54,6,0,3,4,1,6
153162,13,0,0,1,2,2,1,19,24,1,2,0,0,0,1
153162,14,0,0,0,0,0,2,2,0,1,0,1,0,0,1
153162,26,0,0,2,3,8,8,15,23,1,1,1,3,0,2
153162,27,0,0,0,0,0,0,4,2,1,2,2,1,0,0
153162,40,0,1,0,0,1,1,13,11,1,1,0,1,1,0
153162,52,2,0,3,0,2,1,29,11,2,2,4,6,0,1
153241,13,0,0,2,0,0,0,1,0,1,0,22,21,10,0
153250,13,0,1,0,0,0,4,43,142,1,3,3,9,0,1
153250,14,1,0,2,2,8,0,120,8,8,0,15,4,1,0
153250,26,1,0,0,0,0,0,23,24,1,5,2,3,0,0
153250,27,1,0,0,0,0,0,5,0,1,0,0,0,0,0
153250,40,0,0,1,0,0,0,8,6,0,1,0,0,0,0
153250,52,1,0,2,0,6,1,135,74,6,1,14,6,1,1
153269,13,0,0,1,6,2,10,18,77,0,0,1,1,0,0
153269,26,0,1,2,10,2,10,47,126,1,0,1,0,8,14
153269,27,0,0,1,0,0,1,6,11,0,0,0,1,1,1
153269,40,0,0,1,0,3,0,35,23,0,0,4,1,2,0
153269,52,0,0,21,12,18,16,413,227,2,2,46,39,10,18
153278,13,1,0,7,8,3,5,29,79,1,2,0,0,0,1
153278,26,0,0,5,4,3,4,15,34,1,2,1,0,2,0
153278,27,0,0,1,0,0,0,4,3,0,0,0,0,1,0
153278,40,0,0,0,0,0,3,2,1,0,0,0,0,0,0
153278,52,2,0,31,20,18,11,152,162,10,9,4,3,3,4
153302,13,0,1,0,1,1,0,4,27,0,5,0,2,0,2
153302,27,0,0,0,0,0,0,2,0,0,0,0,0,0,0
153302,52,0,0,4,0,1,0,14,8,0,0,0,1,0,0
153320,13,0,0,0,0,0,1,11,30,0,0,0,0,1,2
153320,52,0,0,0,0,0,0,2,17,0,0,0,0,0,2
153366,13,0,0,0,5,3,6,15,90,1,3,0,1,0,1
153366,26,0,0,6,3,6,7,18,41,0,0,2,3,3,0
153366,27,0,0,0,0,2,1,6,3,0,0,1,0,0,0
153366,40,0,0,2,0,3,2,9,15,0,0,1,3,0,0
153366,52,2,0,9,6,20,6,62,47,2,4,16,2,6,0
153375,13,0,0,6,0,4,1,27,63,3,7,0,0,1,0
153375,26,0,0,7,2,3,2,26,46,2,7,0,1,5,2
153375,27,0,0,0,0,1,0,9,5,0,0,3,0,0,0
153375,52,0,0,13,2,9,9,146,98,19,12,20,5,9,11
153384,26,0,0,2,4,3,8,26,46,4,6,11,18,11,11
153384,27,0,0,1,0,1,3,10,9,0,2,17,13,5,1
153384,40,0,0,1,1,1,1,22,13,3,0,18,9,2,1
153409,13,0,0,0,0,0,0,0,1,0,2,0,0,0,0
153409,52,0,0,2,0,0,1,5,16,1,5,0,0,0,0
153418,13,0,0,0,1,0,0,0,4,0,1,0,0,0,0
153418,52,0,0,2,2,0,3,14,22,5,3,0,0,0,0
153427,14,0,0,4,0,11,0,59,10,0,0,0,0,1,0
153603,13,0,4,1,8,5,49,152,863,17,50,0,3,7,14
153603,14,13,3,142,38,313,102,5335,917,322,75,623,123,302,84
153603,26,0,1,17,37,40,95,451,775,28,40,27,44,34,28
153603,27,0,1,3,3,12,2,133,65,10,3,23,25,7,7
153603,40,0,2,7,2,12,15,195,103,7,7,21,13,7,9
153603,52,6,3,101,36,168,96,2404,1386,145,73,200,115,124,92
153621,13,0,0,4,4,2,3,17,36,5,8,8,2,0,0
153621,26,0,0,7,5,4,4,13,18,2,6,5,0,0,0
153621,52,1,0,15,9,8,3,34,31,7,11,41,6,1,1
153658,13,1,2,2,10,5,27,64,482,6,8,3,2,0,5
153658,14,3,0,37,16,95,47,1200,419,38,8,119,43,85,43
153658,26,0,0,16,35,41,76,323,546,12,12,44,49,50,79
153658,27,0,0,3,6,13,4,99,52,3,0,73,52,5,2
153658,40,1,0,6,2,16,14,151,95,8,2,32,10,10,8
153658,52,4,2,63,34,203,122,2516,1205,65,23,318,262,106,75
153825,13,0,0,0,0,1,5,13,68,0,2,0,1,0,0
153825,14,0,0,1,0,0,1,15,8,0,0,0,0,0,0
153825,26,0,0,0,0,3,4,21,50,0,0,1,1,0,0
153825,27,0,0,0,0,0,0,8,7,0,0,0,0,0,0
153825,40,0,0,0,0,0,0,3,5,0,0,0,0,0,0
153825,52,0,0,5,0,8,2,107,49,4,1,2,1,1,1
153834,13,0,0,0,0,1,2,4,65,0,0,0,2,0,0
153834,26,0,0,1,3,6,4,44,92,0,0,4,4,1,3
153834,27,0,0,0,0,1,1,30,19,0,0,7,4,0,0
153834,40,0,0,1,0,0,0,24,20,0,0,3,2,1,0
153834,52,2,0,4,2,8,1,70,44,0,0,19,7,0,0
153861,26,1,0,0,0,0,1,0,1,0,0,0,0,0,0
153861,27,0,0,0,0,0,0,4,0,0,0,0,0,0,0
153861,52,0,0,0,1,2,2,0,2,43,101,0,1,0,0
154004,13,1,1,4,0,3,7,75,132,4,8,0,0,4,3
154004,14,0,0,0,1,3,0,9,0,1,0,0,0,0,0
154004,26,0,0,0,0,8,8,57,61,6,4,1,5,1,1
154004,27,0,0,0,0,2,2,7,1,1,0,2,0,1,0
154004,40,0,0,0,0,2,2,14,21,2,0,2,1,0,0
154004,52,2,0,4,1,13,8,120,73,17,4,33,4,2,1
154013,13,1,3,0,4,0,156,16,92,2,3,0,1,0,2
154013,26,1,1,2,2,1,0,19,34,1,2,1,2,1,1
154013,27,0,0,0,0,0,0,2,2,0,0,1,0,0,0
154013,40,0,0,1,1,0,0,1,3,0,0,1,0,0,0
154013,52,1,4,21,12,1,1,164,172,6,4,26,5,4,7
154022,13,3,43,138,1983,58,627,144,1937,17,266,1,2,12,77
154022,14,0,0,16,14,8,5,30,8,4,4,0,0,0,2
154022,52,34,37,1206,2098,679,867,2225,2532,242,366,9,16,160,161
154095,13,0,2,12,10,10,8,78,146,60,14,7,2,4,4
154095,26,0,1,3,8,4,14,138,303,153,11,5,7,5,4
154095,27,0,0,0,0,5,3,75,68,6,2,3,1,1,2
154095,40,1,0,2,0,3,1,55,30,2,2,2,1,0,0
154095,52,3,2,21,9,44,32,1042,513,69,22,70,55,8,14
154101,13,0,0,0,2,6,9,59,132,3,7,0,1,0,0
154101,26,0,0,0,0,2,1,40,61,3,3,2,5,0,0
154101,27,0,0,0,0,1,0,20,4,1,0,1,2,0,0
154101,40,0,0,0,0,0,0,8,5,0,0,1,1,0,0
154101,52,0,0,4,0,2,0,119,53,4,0,7,2,2,1
154235,13,0,0,2,4,4,9,35,116,1,6,0,0,0,2
154235,14,1,0,3,1,7,2,65,11,1,1,65,0,2,0
154235,26,0,1,4,1,3,5,33,52,5,2,1,0,2,2
154235,27,0,0,1,0,0,0,5,10,0,0,2,0,0,0
154235,40,0,0,0,1,0,1,8,4,0,0,0,2,2,0
154235,52,0,1,12,7,17,15,191,151,17,11,20,0,5,5
154350,13,0,0,0,1,0,1,22,61,1,3,0,1,0,0
154350,26,0,0,1,2,0,1,12,31,1,2,0,0,3,0
154350,27,0,0,0,0,1,1,28,14,0,0,0,0,0,0
154350,40,0,0,0,0,0,0,7,5,0,1,1,0,0,1
154350,52,0,0,2,1,5,2,81,86,10,3,0,0,1,1
154493,13,0,0,1,3,3,6,38,175,0,4,0,0,0,0
154493,14,0,0,7,0,2,0,13,4,2,0,1,0,0,0
154493,26,0,0,4,4,6,1,59,50,0,2,1,1,0,1
154493,27,0,0,1,0,0,1,3,1,0,0,1,1,0,0
154493,40,0,0,0,0,1,0,0,2,0,0,0,0,0,1
154493,52,2,3,89,151,36,38,328,438,25,22,24,13,10,19
154518,13,1,0,3,3,3,3,20,55,1,2,1,0,0,0
154518,26,0,0,1,2,3,3,8,13,2,0,1,3,0,3
154518,52,3,5,47,45,29,14,176,123,81,73,8,2,5,11
154527,13,0,0,2,0,6,2,67,124,1,4,1,0,0,1
154527,14,0,0,6,0,2,0,36,7,0,0,3,1,0,0
154527,26,0,0,4,10,7,13,89,150,5,5,4,10,4,7
154527,27,0,0,0,1,0,0,9,14,0,0,1,1,0,0
154527,40,0,0,1,0,0,0,8,9,1,0,3,0,0,0
154527,52,0,2,5,3,4,3,159,80,5,3,15,19,4,0
154590,13,0,2,5,2,3,8,36,117,1,4,0,0,0,2
154590,14,1,0,12,1,1,0,12,0,0,1,0,0,0,0
154590,26,1,1,10,13,3,6,15,25,1,2,0,0,3,1
154590,27,0,0,0,1,0,0,0,1,0,0,0,0,0,0
154590,52,0,1,34,8,8,10,88,75,4,2,8,3,1,1
154688,13,0,0,1,2,0,7,9,34,0,1,1,0,0,0
154688,26,0,0,0,0,2,2,17,23,1,0,0,2,0,1
154688,27,0,0,0,2,0,1,0,5,0,0,0,1,1,0
154688,40,0,0,0,0,2,2,16,7,0,0,1,0,0,0
154688,52,2,4,21,34,17,24,172,172,2,8,3,0,1,5
154712,13,0,0,2,0,3,11,20,117,0,0,0,0,0,0
154712,14,0,0,2,0,8,2,101,34,1,0,2,0,1,0
154712,26,0,0,1,1,1,3,26,43,0,1,1,0,1,2
154712,27,0,0,0,0,0,1,3,4,0,0,0,0,0,0
154712,40,0,0,0,0,1,0,16,5,0,0,0,0,1,0
154712,52,1,0,6,2,20,8,191,121,0,0,14,2,2,2
154749,13,0,1,0,0,0,0,2,10,0,0,0,0,0,0
154749,26,0,0,0,0,1,2,6,8,0,0,0,0,0,3
154749,27,0,0,0,0,0,0,3,3,0,0,0,0,0,0
154749,40,0,0,0,0,0,0,2,3,0,0,0,0,0,1
154749,52,0,0,6,1,2,1,18,4,0,0,0,1,0,1
154855,13,1,0,0,1,2,6,7,16,0,0,1,1,0,0
154855,26,0,0,0,0,1,2,0,3,0,0,0,0,0,1
154855,27,0,0,0,1,0,0,0,0,0,0,1,0,0,0
154855,40,0,1,0,0,0,0,0,1,0,0,0,0,0,0
154855,52,1,0,27,14,6,9,36,39,3,2,11,1,0,1
155007,52,0,0,0,7,1,2,1,4,0,0,0,0,0,1
155025,13,2,0,6,12,8,31,141,474,4,10,3,1,0,3
155025,26,0,0,3,2,12,11,50,90,2,2,5,13,3,0
155025,27,0,0,1,1,1,2,25,27,4,0,2,2,0,1
155025,40,0,0,2,2,2,4,27,22,0,0,4,2,1,1
155025,52,0,0,28,7,29,20,204,166,6,3,36,29,4,4
155061,13,1,9,48,27,73,109,389,910,3,6,3,6,4,11
155061,14,0,0,1,0,2,1,28,6,1,0,0,0,0,0
155061,26,0,0,3,6,22,22,134,138,0,0,2,1,0,2
155061,27,0,0,1,0,1,2,18,11,0,0,0,0,0,1
155061,40,1,0,1,2,15,5,118,65,1,0,2,0,0,1
155061,52,1,9,38,27,87,91,491,619,8,5,1342,1449,8,12
155070,13,0,0,0,1,0,0,2,10,0,0,0,0,0,0
155070,52,0,0,10,2,2,1,2,10,0,0,0,2,8,0
155089,13,0,0,2,5,6,5,14,55,3,11,0,1,1,1
155089,26,1,0,2,2,2,5,20,65,5,9,1,0,0,2
155089,27,0,0,1,0,1,0,5,0,0,1,1,0,0,0
155089,40,0,0,1,0,0,0,2,3,0,1,0,0,0,0
155089,52,3,5,15,13,11,17,92,118,25,29,17,1,3,2
155140,13,8,22,0,0,0,0,0,0,0,0,0,0,0,0
155140,52,30,42,0,0,0,0,0,0,0,0,0,0,0,0
155308,13,0,0,0,0,0,1,0,2,0,0,0,0,0,0
155308,52,0,0,22,5,3,0,6,7,1,1,8,0,1,0
155317,13,0,2,2,4,4,27,65,236,1,4,1,8,1,5
155317,14,1,3,40,10,115,45,963,328,7,1,154,36,78,31
155317,26,0,6,18,32,54,75,313,457,3,3,13,21,65,97
155317,27,2,0,3,0,6,3,78,34,1,0,18,10,7,1
155317,40,0,3,4,6,12,13,174,101,2,2,12,2,7,9
155317,52,1,0,15,15,80,38,1068,609,5,0,29,25,34,33
155335,13,1,0,0,7,6,14,17,86,2,1,0,1,0,1
155335,26,0,0,4,5,6,15,39,63,0,0,3,3,14,25
155335,27,0,0,2,0,0,0,4,0,0,0,2,0,0,0
155335,40,0,0,0,0,1,0,5,3,0,0,1,0,1,1
155335,52,1,0,7,5,8,12,46,26,1,1,20,8,0,2
155399,13,1,4,10,13,22,58,269,778,1,8,2,6,0,6
155399,14,7,0,33,14,122,32,1596,403,33,7,173,27,30,18
155399,26,4,4,24,34,61,76,415,629,7,6,11,20,10,15
155399,27,0,0,1,0,5,3,43,18,1,0,5,6,3,1
155399,40,0,0,2,2,12,9,105,50,2,1,13,6,0,2
155399,52,3,3,30,18,41,44,714,465,13,3,52,38,21,15
155414,13,0,0,1,1,5,6,20,42,0,2,0,0,0,0
155414,14,0,0,0,0,1,0,5,3,0,0,0,0,0,0
155414,26,0,0,0,1,0,2,3,10,1,0,0,0,0,1
155414,27,0,0,1,0,0,0,2,1,0,0,0,0,0,0
155414,40,0,0,1,3,1,4,4,7,1,0,0,0,0,0
155414,52,0,0,19,0,16,6,52,27,3,0,4,0,1,0
155496,52,0,0,1,0,0,1,5,1,3,1,0,0,0,0
155511,13,0,0,1,1,0,5,2,18,0,1,0,0,0,0
155511,26,0,1,1,7,3,6,10,14,1,1,0,0,0,1
155511,27,0,0,2,1,0,0,3,2,0,0,0,0,2,0
155511,40,0,0,1,0,0,0,0,4,1,0,0,0,0,0
155511,52,1,1,18,5,24,4,45,21,3,3,1,0,0,0
155520,13,0,0,1,7,4,1,17,67,7,10,0,2,1,1
155520,26,0,0,0,3,2,2,4,19,1,3,0,0,0,1
155520,27,0,0,1,0,1,0,2,0,0,0,0,0,0,0
155520,40,0,0,1,0,0,0,6,5,4,0,1,0,0,0
155520,52,1,2,22,16,3,5,71,67,19,11,15,4,2,5
155627,13,2,3,6,3,0,2,17,24,5,5,0,0,1,1
155627,14,1,0,3,1,5,1,21,2,1,0,0,0,0,0
155627,26,0,2,5,2,3,6,11,21,1,7,0,0,1,0
155627,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0
155627,52,1,1,13,3,15,4,71,30,12,3,0,0,0,2
155636,13,0,0,0,2,1,1,6,25,0,0,0,0,0,1
155636,27,0,0,0,0,0,1,3,3,0,1,0,0,0,0
155636,52,0,3,3,12,2,7,33,69,2,6,0,0,0,6
155681,13,3,9,8,5,9,19,156,339,0,0,3,1,2,2
155681,26,1,6,2,7,7,15,107,145,0,0,3,3,3,0
155681,27,0,0,0,0,0,0,10,3,0,0,0,0,0,0
155681,40,1,1,2,0,5,2,36,25,0,0,1,1,0,1
155681,52,10,2,26,8,38,20,582,241,0,0,19,11,3,4
155812,13,0,0,0,2,0,3,2,12,0,3,0,1,0,1
155812,26,1,1,3,4,13,7,19,33,4,1,1,0,3,2
155812,27,0,0,3,1,4,0,9,1,0,0,1,0,0,0
155812,40,0,0,0,0,2,1,0,2,0,0,0,0,0,0
155812,52,0,1,9,0,12,5,33,11,3,0,1,0,1,0
155900,13,2,0,8,4,2,7,12,39,5,21,2,0,0,3
155900,26,0,1,7,5,3,5,14,33,12,5,1,1,1,3
155900,27,0,0,0,0,1,0,1,3,3,1,1,0,0,0
155900,40,0,0,1,0,0,0,2,2,0,0,0,1,0,0
155900,52,3,1,38,11,25,13,135,64,103,35,13,4,6,2
155937,13,0,1,2,3,3,8,24,45,0,0,0,0,0,0
155937,26,1,0,4,1,6,5,14,19,0,0,0,0,2,1
155937,27,0,0,2,0,2,0,4,3,0,0,0,0,0,0
155937,40,0,0,0,0,1,0,3,0,0,0,0,0,0,0
155937,52,0,0,26,1,7,3,51,19,0,0,7,0,1,0
155973,13,0,0,1,1,4,3,16,45,0,0,0,0,1,0
155973,26,0,0,0,0,4,3,10,19,0,0,1,0,0,0
155973,27,1,0,0,0,0,1,1,4,0,0,1,0,0,0
155973,52,1,0,8,0,6,1,32,12,2,0,6,1,1,1
156082,13,0,1,4,3,9,20,57,137,8,8,0,2,0,1
156082,14,0,0,1,0,0,0,1,0,0,0,0,0,0,0
156082,26,1,1,2,3,7,9,41,61,2,6,1,0,0,2
156082,27,0,0,0,0,0,3,14,7,2,0,0,0,0,0
156082,40,0,0,2,0,1,2,19,9,3,0,7,1,0,0
156082,52,1,2,16,5,20,20,209,127,13,6,30,19,1,1
156125,13,4,9,9,47,26,88,159,656,6,12,0,2,10,8
156125,14,7,2,48,17,141,33,695,142,46,10,320,66,113,49
156125,26,3,3,17,29,29,56,209,239,9,4,8,6,41,43
156125,27,0,0,1,0,1,4,26,12,0,1,2,2,5,2
156125,40,0,0,3,4,17,13,75,53,2,3,4,0,16,16
156125,52,3,3,48,56,124,112,692,513,27,13,64,46,71,84
156189,13,0,0,0,0,1,11,21,73,0,5,1,2,0,0
156189,26,0,0,0,1,1,0,67,100,1,1,1,0,0,0
156189,52,0,0,6,0,0,0,26,5,0,2,2,0,0,0
156213,13,0,0,3,2,1,1,18,154,1,1,2,4,2,4
156213,14,0,0,0,0,0,0,9,0,0,0,1,0,0,0
156213,26,0,0,1,0,1,3,18,33,1,1,4,2,0,3
156213,27,0,0,0,0,0,0,10,11,0,0,6,1,0,0
156213,40,0,0,0,0,0,1,2,1,0,0,1,0,0,0
156213,52,2,0,16,13,30,35,111,105,4,2,21,6,4,1
156286,13,0,0,0,4,1,2,17,100,1,4,0,0,1,2
156286,14,0,0,1,1,0,0,12,3,0,0,0,0,0,1
156286,26,0,0,0,8,2,10,60,141,2,6,2,1,3,5
156286,27,0,0,0,0,0,0,4,7,0,0,0,0,0,0
156286,40,0,0,1,2,2,0,11,7,1,0,0,0,0,0
156286,52,0,0,6,7,8,8,196,97,12,3,4,2,2,3
156295,13,0,0,1,5,7,11,16,48,0,2,0,1,1,0
156295,26,0,0,3,23,10,10,23,45,1,1,6,6,4,6
156295,27,0,0,1,2,8,1,12,10,0,0,7,3,0,0
156295,40,0,0,2,9,12,3,21,11,1,0,8,8,1,1
156295,52,0,0,14,20,9,5,25,22,0,1,11,7,3,2
156356,13,0,0,2,3,1,2,9,33,0,6,0,0,0,0
156356,14,0,0,1,0,3,0,4,0,1,0,0,0,0,0
156356,26,0,0,1,9,7,2,32,37,3,5,2,0,1,1
156356,27,0,0,0,0,0,0,0,2,0,0,0,0,0,0
156356,40,0,0,0,0,0,0,2,1,0,0,1,0,1,0
156356,52,0,1,6,5,7,0,43,26,5,3,3,0,0,2
156365,13,0,1,8,11,1,6,37,165,0,7,6,3,0,2
156365,26,0,0,1,4,1,1,33,65,0,0,4,1,1,0
156365,27,0,0,2,1,0,0,13,14,1,0,6,1,0,0
156365,40,0,0,0,1,0,0,5,3,0,0,0,0,0,0
156365,52,1,0,61,17,12,4,163,122,4,11,52,16,1,0
156408,26,0,0,1,1,2,3,33,29,0,0,1,1,2,5
156408,27,0,0,1,1,2,1,15,7,1,0,6,6,2,1
156408,40,0,0,0,0,0,0,20,10,0,0,3,2,0,0
156541,13,0,0,1,1,0,0,29,96,54,205,1,1,0,1
156541,14,0,0,0,0,0,0,5,0,6,0,1,0,0,0
156541,26,0,0,1,0,1,0,41,56,48,51,1,2,0,2
156541,27,0,0,0,0,0,0,5,7,6,5,2,0,0,0
156541,40,0,0,0,0,0,0,5,8,14,6,3,0,0,0
156541,52,1,1,6,4,2,2,98,59,145,87,29,11,0,1
156620,13,0,2,2,11,3,18,144,614,1,0,0,1,0,2
156620,26,0,1,6,8,5,10,131,248,3,4,1,1,2,4
156620,27,0,0,0,2,1,2,29,20,0,0,0,1,0,0
156620,40,0,0,3,12,9,8,126,187,2,1,2,1,2,3
156620,52,0,0,58,30,21,19,731,451,8,7,16,8,6,9
156745,13,0,0,0,0,0,1,5,39,0,1,0,0,0,0
156745,26,0,1,1,5,1,2,24,77,2,3,0,0,0,0
156745,27,0,0,0,0,0,0,4,6,1,1,0,0,0,0
156745,40,0,1,0,0,0,0,10,6,1,0,1,0,0,0
156745,52,0,0,12,1,7,1,46,41,5,2,0,0,0,0
157030,13,0,0,0,0,0,1,0,6,0,0,0,0,0,0
157058,13,0,2,51,40,0,5,7,8,5,4,0,0,1,3
157058,26,0,0,10,31,1,2,6,8,3,1,0,0,0,1
157058,27,0,0,13,9,1,0,2,1,1,0,0,0,0,0
157058,40,0,0,1,6,0,1,1,3,0,0,0,0,0,0
157058,52,0,0,65,43,1,4,7,10,15,4,1,0,0,1
157076,13,0,1,8,1,0,0,25,22,3,1,1,0,1,0
157076,26,0,0,5,4,1,2,22,30,9,4,0,0,0,1
157076,27,0,0,1,0,0,1,1,4,0,0,0,0,0,0
157076,40,0,0,0,1,1,1,7,9,0,1,0,0,0,0
157076,52,0,0,8,1,2,0,19,40,7,4,0,0,1,1
157085,13,2,2,53,92,38,49,400,1031,19,31,6,4,5,12
157085,14,1,0,68,27,86,21,1668,449,71,19,104,29,59,21
157085,26,2,2,50,111,36,55,515,870,20,38,12,31,56,89
157085,27,0,0,3,2,2,4,78,45,6,2,8,2,5,6
157085,40,0,0,15,9,13,11,138,148,9,5,8,6,14,8
157085,52,2,0,102,60,76,63,1599,1026,63,37,71,41,42,38
157100,13,0,0,4,0,0,1,27,31,1,1,0,1,0,0
157100,26,0,0,1,0,1,0,10,10,3,0,0,0,0,0
157100,52,0,0,51,1,5,0,55,17,4,1,5,3,0,1
157216,13,0,0,17,5,0,0,46,84,28,36,0,0,1,0
157216,14,0,0,2,0,0,0,8,0,1,0,0,0,2,0
157216,26,0,0,2,3,1,0,1,36,3,21,0,0,29,2
157216,27,0,0,1,0,0,0,8,1,1,3,0,0,0,0
157216,52,0,0,27,3,2,1,85,55,54,28,0,0,0,1
157289,13,0,0,42,74,29,31,280,549,0,2,0,1,4,9
157289,14,1,0,66,20,75,18,1214,329,2,0,27,15,96,36
157289,26,0,0,25,79,28,49,226,364,1,1,4,4,47,54
157289,27,1,1,6,5,3,1,51,35,0,1,1,0,2,1
157289,40,1,0,6,14,6,12,153,84,0,0,3,4,12,6
157289,52,1,1,79,57,49,24,874,439,0,0,30,17,49,35
157377,13,0,0,1,1,0,3,5,35,1,1,0,0,0,0
157377,26,0,0,3,1,1,4,8,38,5,1,0,0,1,1
157377,27,0,0,0,0,3,0,1,1,1,0,0,0,0,0
157377,52,0,2,8,8,13,12,63,84,6,6,0,0,1,1
157386,13,0,1,3,12,4,5,65,462,1,3,0,0,1,3
157386,26,1,0,4,4,3,7,171,273,1,0,0,1,1,4
157386,27,0,0,0,0,1,1,32,22,0,0,0,1,1,0
157386,40,0,0,3,2,2,1,169,75,1,0,1,1,1,2
157386,52,0,0,5,5,9,2,200,150,4,0,6,1,4,2
157401,13,0,0,6,16,2,8,66,418,1,8,0,1,1,1
157401,14,0,0,1,1,2,0,96,17,3,1,8,1,0,0
157401,26,0,0,5,6,6,4,101,155,3,2,0,6,3,1
157401,27,0,1,0,1,0,1,17,24,0,0,0,3,0,1
157401,40,0,0,2,5,1,2,65,63,3,0,3,0,0,2
157401,52,1,0,21,20,6,8,294,279,11,12,19,16,3,4
157447,13,0,1,9,32,3,10,143,540,3,3,0,2,4,6
