"UNITID","CIPCODE","EFAIANM","EFAIANW","EFBKAAM","EFBKAAW","EFHISPM","EFHISPW","EFWHITM","EFWHITW","EFUNKNM","EFUNKNW","EFNRALM","EFNRALW","DVEFAIM","DVEFAIW"
127185,52,62,63,2,0,31,22,196,79,12,3,6,0,1,3
127556,13,0,0,0,1,2,3,16,18,0,0,0,0,1,0
127556,26,0,2,1,5,20,59,116,232,6,11,2,2,2,10
127556,27,0,0,0,0,0,8,20,24,1,0,0,0,0,2
127556,40,0,0,3,1,18,8,91,52,1,5,2,0,0,4
127556,52,0,3,13,2,62,46,279,216,7,4,12,5,7,8
127565,13,0,1,7,27,37,191,92,387,10,7,0,4,8,17
127565,14,1,0,9,3,27,10,43,18,2,4,0,0,4,2
127565,26,4,3,27,48,121,249,201,349,17,21,2,4,24,45
127565,27,0,0,6,1,26,16,71,52,10,3,0,1,8,1
127565,40,0,1,11,9,30,45,104,82,8,5,0,1,5,9
127565,52,7,8,136,108,556,468,1065,762,91,36,33,12,129,134
127653,13,0,0,0,0,0,1,9,11,0,0,0,0,0,0
127714,13,0,0,0,1,1,0,0,5,0,0,0,0,0,0
127741,13,0,3,3,16,30,223,88,711,2,27,0,3,7,18
127741,14,0,0,2,0,16,2,34,7,3,0,1,0,1,0
127741,26,1,3,12,19,41,85,78,169,2,2,1,7,2,13
127741,27,1,1,1,2,8,16,36,46,4,0,1,4,2,2
127741,40,1,1,7,8,33,18,111,94,6,4,0,7,1,1
127741,52,1,1,23,11,115,79,327,208,13,6,17,2,12,16
127820,13,1,2,1,14,1,36,10,100,1,5,0,1,0,3
127820,52,2,1,21,19,50,54,110,144,10,19,2,5,6,10
127909,13,0,1,0,5,1,13,3,24,0,3,0,4,0,1
127909,52,2,2,4,11,27,44,81,131,14,19,2,4,3,9
127918,13,0,0,0,2,4,15,5,36,0,4,0,1,0,0
127918,26,0,1,2,6,11,31,18,80,2,5,0,0,5,23
127918,27,0,0,0,0,3,3,9,5,0,0,0,0,1,1
127918,40,0,1,0,0,2,1,7,4,1,2,2,0,1,0
127918,52,3,3,13,14,63,83,190,169,25,33,11,8,11,17
127945,13,0,2,0,1,0,2,3,14,1,1,0,0,0,0
128106,13,0,0,0,0,0,2,0,2,0,0,0,0,0,0
128106,14,0,0,9,0,43,6,53,14,2,1,13,1,1,0
128106,26,2,0,6,7,35,68,33,77,3,5,3,2,0,1
128106,27,0,0,0,1,6,7,10,9,1,0,1,0,0,0
128106,40,1,0,0,1,15,19,16,19,0,0,2,0,1,0
128106,52,4,2,37,12,131,68,246,69,13,2,20,9,9,4
128328,14,2,1,28,13,70,19,548,118,19,4,28,3,54,16
128328,26,1,1,10,6,10,17,70,105,7,8,0,0,11,15
128328,27,1,0,0,1,5,1,41,13,1,1,0,0,4,0
128328,40,0,0,0,1,9,7,62,23,4,0,1,0,3,3
128328,52,4,0,55,10,58,11,341,45,65,1,2,0,26,7
128391,13,0,0,1,2,0,7,10,34,0,2,0,0,0,0
128391,26,0,1,0,1,13,20,77,96,10,5,1,0,2,1
128391,27,0,1,1,0,3,3,18,5,1,2,0,0,0,0
128391,40,0,0,0,0,4,4,36,16,4,4,0,0,0,0
128391,52,2,0,6,3,25,9,205,74,22,10,0,1,1,3
128498,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1
128498,26,0,0,1,2,0,7,1,5,0,0,0,1,0,1
128498,27,0,0,2,1,0,1,0,3,0,1,0,0,0,0
128498,40,0,0,0,0,1,0,1,0,0,0,0,0,0,0
128498,52,0,0,21,52,20,34,47,48,22,9,2,2,1,0
128744,14,2,0,28,5,16,5,23,2,0,0,86,7,8,1
128744,26,0,0,4,37,5,22,6,13,0,0,10,7,2,4
128744,27,0,0,1,1,0,0,0,1,0,0,0,0,1,0
128744,52,1,1,40,59,32,18,26,23,0,0,57,34,6,3
128771,13,1,1,14,16,26,91,126,353,7,15,0,1,3,16
128771,14,0,0,32,9,50,9,240,23,16,2,12,2,27,3
128771,26,0,0,29,84,35,70,117,205,7,17,4,3,12,25
128771,27,0,0,5,8,7,4,48,39,3,3,1,3,5,5
128771,40,0,0,7,3,7,3,78,40,2,2,1,0,5,0
128771,52,1,1,145,110,154,110,870,413,36,26,17,16,79,58
128780,13,0,0,0,16,3,20,0,45,0,2,0,1,0,2
128780,52,1,0,11,20,12,18,66,76,5,4,0,0,4,5
128902,26,1,0,4,6,4,8,35,55,1,1,1,2,2,8
128902,27,0,0,0,0,0,0,4,3,0,0,2,1,1,2
128902,40,0,0,1,0,1,0,10,5,0,0,5,4,0,0
129020,13,0,0,17,12,13,21,45,112,6,5,8,7,7,13
129020,14,0,2,88,41,199,70,1403,485,94,16,103,31,302,128
129020,26,2,0,56,119,89,185,386,660,22,49,38,43,152,290
129020,27,0,0,5,7,28,10,159,113,11,4,126,92,34,37
129020,40,1,0,11,12,19,10,142,58,8,6,30,8,16,16
129020,52,0,0,30,29,98,67,782,468,37,26,155,190,121,117
129154,52,0,1,20,26,17,23,19,43,1,1,0,3,3,4
129215,13,0,0,2,3,5,12,75,116,4,7,0,0,1,2
129215,26,1,1,12,22,14,37,66,104,5,27,2,2,4,7
129215,27,0,0,5,2,4,1,22,19,1,3,3,1,1,1
129215,40,1,0,2,1,1,1,41,23,1,1,1,0,0,0
129215,52,0,1,27,26,42,21,269,182,22,19,3,5,13,18
129242,14,0,0,5,4,25,7,145,37,10,4,23,7,12,7
129242,26,1,1,4,7,8,12,42,131,3,7,2,9,4,4
129242,27,0,0,0,0,2,2,15,31,4,1,1,0,1,1
129242,40,0,0,0,2,3,0,8,11,0,0,1,2,0,0
129242,52,1,0,9,10,50,40,769,586,39,26,43,24,19,24
129525,13,0,0,2,11,5,16,27,159,2,7,1,2,2,5
129525,14,0,0,51,15,49,25,237,54,8,2,104,6,11,8
129525,26,0,1,8,34,9,13,22,38,1,3,3,3,1,6
129525,27,0,0,1,3,1,1,9,4,0,0,1,0,2,0
129525,40,0,1,1,8,1,4,12,13,1,2,1,2,3,2
129525,52,0,0,74,34,40,37,257,115,12,6,29,11,15,12
129774,13,0,0,1,1,1,2,5,24,1,2,0,0,0,0
129774,52,1,0,6,4,9,4,26,9,5,2,0,0,2,1
129941,14,2,0,48,9,48,12,217,50,29,1,58,2,24,3
129941,26,0,0,19,45,11,29,61,133,5,11,1,5,2,14
129941,27,0,0,0,1,1,0,4,1,0,0,0,0,0,0
129941,40,0,0,2,0,1,2,5,7,0,0,0,0,1,0
129941,52,1,1,60,31,30,28,193,100,11,6,13,6,9,8
130183,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130183,26,0,0,0,0,1,0,1,11,12,27,3,3,0,0
130183,27,0,0,0,1,0,0,4,1,3,4,0,0,1,1
130183,52,7,13,277,482,130,146,595,698,480,304,39,24,23,27
130226,14,0,0,8,4,29,5,140,40,7,1,6,3,10,2
130226,26,0,4,6,22,13,32,109,195,3,4,4,3,8,25
130226,27,1,0,0,2,0,2,8,20,0,0,1,1,1,0
130226,40,0,0,0,1,0,0,7,6,0,0,1,0,0,2
130226,52,1,1,47,29,90,57,888,455,33,15,35,22,32,31
130253,14,0,0,2,0,3,1,7,1,0,0,1,0,0,0
130253,26,0,1,2,5,13,22,28,117,1,6,1,1,1,7
130253,27,0,1,0,1,1,1,4,15,0,0,0,0,0,0
130253,40,0,0,0,1,0,0,2,4,0,1,2,1,0,0
130253,52,0,0,29,19,66,39,490,351,26,20,17,7,12,9
130314,13,0,0,0,0,0,2,1,15,0,1,0,0,0,0
130314,26,0,0,0,8,3,12,10,37,2,0,0,1,2,6
130314,27,0,0,1,0,0,0,2,4,0,0,0,1,0,0
130314,40,0,0,0,1,0,2,0,5,0,0,1,0,2,2
130314,52,0,0,3,3,5,8,9,19,2,4,1,0,0,4
130493,13,0,1,43,78,31,73,164,540,17,39,0,3,10,11
130493,26,0,1,23,50,13,51,65,97,8,20,0,0,6,14
130493,27,0,0,5,3,2,2,28,23,6,2,0,0,1,2
130493,40,0,0,11,14,11,10,82,44,17,8,0,1,7,0
130493,52,2,1,144,87,63,52,405,222,52,35,9,3,27,24
130590,13,0,0,0,0,1,5,0,7,0,1,1,0,0,0
130590,14,0,0,1,1,3,2,7,9,2,0,10,3,0,2
130590,26,0,0,3,4,2,8,24,57,2,2,2,6,2,5
130590,27,0,0,0,2,3,2,10,10,0,0,10,8,0,0
130590,40,0,0,0,2,1,1,6,7,0,0,4,1,1,1
130624,14,0,0,16,4,30,10,253,103,6,0,12,2,30,4
130624,27,1,0,5,0,10,5,54,29,2,2,6,1,16,3
130624,40,0,0,5,8,11,23,41,85,2,0,1,0,3,8
130624,52,0,0,13,7,17,5,76,25,1,0,8,1,6,9
130697,26,0,0,4,3,4,10,28,41,2,5,3,9,5,6
130697,27,0,0,1,2,6,1,18,10,1,1,17,6,3,0
130697,40,0,0,1,0,5,8,24,23,1,1,6,4,5,7
130776,13,0,0,3,9,9,31,65,125,4,3,0,0,0,2
130776,26,0,0,7,12,13,32,56,66,3,2,0,0,8,16
130776,27,0,0,1,0,3,2,18,5,3,0,0,0,1,3
130776,40,0,0,2,6,10,10,51,21,2,0,0,0,4,1
130776,52,0,1,54,35,144,93,395,196,20,10,1,0,36,27
130794,14,0,0,10,4,23,13,56,44,1,0,14,12,25,23
130794,26,1,3,14,13,28,23,51,68,0,0,8,18,46,76
130794,27,0,0,5,2,9,6,68,22,0,0,18,10,30,28
130794,40,1,0,3,2,6,3,42,25,0,1,9,2,10,10
130907,13,0,1,30,167,12,96,66,428,4,26,1,4,1,12
130907,14,0,0,26,4,16,2,43,5,6,1,2,1,11,1
130907,26,0,0,17,26,10,20,40,59,2,3,1,0,5,6
130907,52,1,2,217,209,90,116,370,327,24,6,10,15,33,26
130934,13,35,0,4,154,4,18,14,29,1,0,2,5,0,2
130934,14,0,0,55,20,6,0,5,3,2,0,15,8,0,1
130934,26,0,0,37,195,6,20,1,17,0,1,3,15,1,2
130934,27,0,0,3,6,0,1,2,0,0,0,0,0,0,0
130934,40,0,0,7,34,4,3,5,3,0,0,1,5,0,1
130934,52,1,0,164,209,8,17,6,10,0,0,10,18,1,1
130943,13,1,1,18,21,18,64,160,799,5,11,4,7,6,19
130943,14,1,2,80,71,140,74,1238,677,79,49,118,65,167,60
130943,26,0,0,38,67,44,93,291,570,5,8,23,18,61,110
130943,27,0,0,4,1,5,0,60,37,0,2,35,18,12,4
130943,40,1,0,5,6,12,4,106,66,3,2,23,9,5,4
130943,52,2,2,29,37,98,83,1140,819,11,19,137,150,51,54
130989,52,2,2,42,53,16,15,103,106,0,4,31,26,9,10
131098,13,0,0,3,21,2,1,5,26,0,2,0,0,0,1
131098,26,0,0,4,11,0,2,6,10,2,1,1,0,1,1
131098,27,0,0,2,1,0,0,4,2,1,0,0,0,0,0
131098,52,1,0,50,18,5,2,38,11,5,2,2,0,0,1
131113,13,0,6,23,99,6,46,81,340,4,19,1,8,2,3
131113,52,6,11,183,355,79,124,503,588,52,60,62,41,20,31
131159,13,0,0,0,3,0,5,2,29,0,4,0,4,0,3
131159,26,0,0,8,23,13,30,20,84,2,5,3,8,6,15
131159,27,0,0,0,1,2,3,5,9,2,1,7,7,0,2
131159,40,0,0,0,5,0,3,7,3,2,0,0,1,0,3
131159,52,0,0,31,36,71,78,267,204,22,25,153,115,31,51
131283,13,0,0,0,1,1,5,11,81,0,1,1,0,0,1
131283,14,0,0,7,3,32,13,148,57,1,4,73,25,11,10
131283,26,0,0,1,5,7,11,21,41,0,1,0,1,4,2
131283,27,0,0,0,0,2,1,5,9,0,0,0,0,0,2
131283,40,0,0,0,0,1,2,3,8,0,0,1,1,0,3
131283,52,1,1,13,11,43,36,223,137,3,7,14,10,7,12
131399,13,0,1,19,174,5,29,4,2,4,16,2,4,0,7
131399,14,0,0,53,7,22,7,8,2,10,2,104,8,4,1
131399,26,0,0,30,48,3,9,6,2,3,7,5,16,3,1
131399,27,0,0,4,5,4,3,1,0,1,1,0,1,0,2
131399,40,0,0,7,5,1,0,1,1,1,1,0,1,0,0
131399,52,0,0,154,261,49,38,16,11,19,22,48,44,5,10
131450,13,0,0,0,1,0,1,2,8,1,1,0,2,0,1
131450,26,0,0,1,0,2,0,7,4,1,2,0,0,0,1
131450,27,0,0,1,1,0,0,2,2,1,0,1,0,1,1
131450,40,0,0,0,1,1,0,1,2,1,0,0,0,0,0
131450,52,0,0,6,2,1,1,25,11,2,1,3,3,1,1
131469,14,0,0,21,25,28,32,236,195,23,17,39,20,48,37
131469,26,0,0,6,27,12,38,63,136,8,18,10,11,27,45
131469,27,0,0,3,0,1,0,16,14,2,0,11,15,6,3
131469,40,0,0,3,3,2,4,18,26,2,0,4,2,5,5
131469,52,1,0,48,58,78,102,435,362,32,38,227,205,90,114
131496,26,0,0,12,18,9,22,91,138,5,9,10,19,18,42
131496,27,0,0,2,2,7,5,39,45,0,2,9,4,5,5
